Username,Brand,Model
Guy,Cadillac,Escalade
Guy,Subaru,XV
Judy,Mercedes-Benz,C200
Judy,Chevrolet,N200
Joel,Chevrolet,Pickup/Dababa
Joel,Mercedes-Benz,S560
Howard,Mercedes-Benz,C180
Howard,Kia,Cerato
Loretta,Speranza,A11
Loretta,Volvo,XC60
Jacob,Mercedes-Benz,GLA 200
Jacob,Brilliance,Galena
Rachel,Seat,Tarraco
Rachel,Mercedes-Benz,GLK 300
Bruce,Other make,Other
Bruce,Toyota,Rav 4
Peter,Skoda,Rapid
Peter,Chery,Envy
Christine,Chevrolet,Captiva
Christine,BMW,328
Stephen,Mercedes-Benz,GL-Class
Stephen,Chrysler,Town and Country
Brent,Hyundai,Bayon
Brent,Other make,Landwind
Sally,Renault,Duster
Sally,Land Rover,Velar
Diana,Toyota,Fortuner
Diana,Land Rover,Range Rover Vogue
Cynthia,Land Rover,Discovery Sport
Cynthia,Toyota,Hilux
Cassidy,Baic,X3
Cassidy,MINI,Cooper s
Grant,Hyundai,IX35
Grant,Infiniti,Other
Darryl,Saipa,Tiba
Darryl,Faw,Pickup
Sherry,Jeep,Compass
Sherry,Fiat,500X
Caleb,Mitsubishi,Atrage
Caleb,Chery,Arrizo 5
Dawn,Mercedes-Benz,CLS
Dawn,Hyundai,Bayon
Bryan,Fiat,Petra
Bryan,Hyundai,Coupe
Jodi,Senova,X35
Jodi,BMW,118
Kyle,Audi,Q5
Kyle,Nissan,Sentra
Benjamin,Land Rover,Range Rover Vogue
Benjamin,Citroen,C-Elysée
Kathryn,Kia,Shuma
Kathryn,BMW,X4
Deborah,Hyundai,I20
Deborah,Peugeot,5008
Henry,Kia,Shuma
Henry,Mercedes-Benz,C250
Carolyn,Kia,Carnival
Carolyn,Mitsubishi,Outlander
Jared,MINI,Countryman
Jared,Toyota,Rumion
Glenn,Mercedes-Benz,CLA 180
Glenn,Mercedes-Benz,C180
Erin,Daihatsu,Gran Max
Erin,Daihatsu,Grand Terios
Luis,Lada,Other
Luis,Nissan,Tiida
Nicholas,Land Rover,Evoque
Nicholas,Fiat,Grand Punto
Jennifer,DFSK,Glory 330
Jennifer,Mercedes-Benz,CLA 200
Tammy,Geely,Other
Tammy,Porsche,Panamera
Adrian,Toyota,Rav 4
Adrian,Mercedes-Benz,B180
Sean,Mercedes-Benz,B150
Sean,BMW,850
Roberta,Peugeot,207
Roberta,Suzuki,SX4
Cheryl,Nissan,Tiida
Cheryl,Toyota,C-HR
Shane,Fiat,Palio
Shane,Kia,Carens
Wesley,Fiat,Bravo
Wesley,Speranza,A113
Leslie,MINI,Cooper Roadster
Leslie,Chery,Tiggo
Daniel,Opel,Corsa
Daniel,Lifan,320
Diamond,Proton,Preve
Diamond,BMW,418
Kelsey,BMW,418
Kelsey,Chery,Tiggo
Jeremiah,BMW,320
Jeremiah,Toyota,Fortuner
Andrew,Daewoo,Juliet
Andrew,Chevrolet,Other
Abigail,Nissan,Pickup
Abigail,Opel,Vectra
Fernando,Chevrolet,Trailblazer
Fernando,MINI,Cooper s
Stephanie,Land Rover,Defender
Stephanie,Jaguar,E-Pace
Kristi,Citroen,C5
Kristi,Kia,Soul
Paige,Mercedes-Benz,C230
Paige,Fiat,Siena
Bradley,Changan,V7
Bradley,Classic,Classic
Amy,DFSK,Glory 330
Amy,Citroen,DS7
Eugene,Opel,Grandland
Eugene,Mercedes-Benz,GLS
Jackie,Nissan,Other
Jackie,Mercedes-Benz,C180
Vickie,Geely,Emgrand X7
Vickie,Volvo,s60
Samuel,Mercedes-Benz,GLS
Samuel,Ford,Focus
Catherine,Chevrolet,Captiva
Catherine,Kia,Xceed
Blake,Mercedes-Benz,E250
Blake,Suzuki,S-Presso
Margaret,Mercedes-Benz,E300
Margaret,Fiat,Palio
Zachary,Speranza,M11
Zachary,Daihatsu,Terios
Marie,Hyundai,Avante
Marie,Speranza,Tiggo
Dennis,Subaru,XV
Dennis,Mercedes-Benz,Other
Alan,Jetour,X70
Alan,Land Rover,Range Rover Sport
Jeffery,Kia,Rio
Jeffery,Mercedes-Benz,A150
Richard,Seat,Leon
Richard,Toyota,Camry
Anne,Mercedes-Benz,E180
Anne,BMW,535
Melanie,Mercedes-Benz,E300
Melanie,Opel,Grandland
Jill,Fiat,Palio
Jill,Mercedes-Benz,A150
Amber,Renault,Kadjar
Amber,Changan,EADO
Kristen,Faw,Other
Kristen,DFSK,Other
Ronald,Haval,Jolion
Ronald,Brilliance,V5
Janet,Porsche,Other
Janet,BMW,530
Martin,Mercedes-Benz,E280
Martin,Daihatsu,Grand Terios
Kaitlyn,MG,RX5
Kaitlyn,Lada,Granta
Tara,BMW,X4
Tara,BMW,328
Omar,Lamborghini,Other
Omar,Jetour,X95
Karl,Cadillac,Escalade
Karl,Haval,H6
Sheila,BYD,F3
Sheila,BMW,318
Holly,GMC,Yukon
Holly,Porsche,Cayenne
Nicole,Geely,Emgrand X7
Nicole,Citroen,C4 Grand Picasso
Andrea,BMW,116
Andrea,Lifan,320
Grace,Porsche,Carrera
Grace,Skoda,Karoq
Luke,Mercedes-Benz,E63
Luke,Dodge,Dart
Jake,Opel,Meriva
Jake,Mercedes-Benz,GLS
Donald,Land Rover,Discovery Sport
Donald,MG,MG 5
Robin,Mercedes-Benz,S500
Robin,Alfa Romeo,Giulietta
Norman,Peugeot,307
Norman,Audi,A7
Kristy,BYD,F0
Kristy,Kia,Pegas
Marissa,BMW,X1
Marissa,Jaguar,XE
Monique,Citroen,C-Elysée
Monique,Peugeot,308 SW
Kayla,Porsche,Other
Kayla,Cadillac,Escalade
Linda,Jeep,Other
Linda,Dodge,Ram
Patrick,Toyota,Yaris
Patrick,Proton,Saga
Helen,Proton,Waja
Helen,Hyundai,Santa Fe
Allen,Mitsubishi,Pickup
Allen,Kia,Carens
Carrie,Hyundai,H1
Carrie,BMW,X7
Danielle,BYD,F3
Danielle,Rolls Royce,Ghost
Brandy,Tesla,Model Y
Brandy,Peugeot,308 SW
Laurie,Other make,Karry
Laurie,Lifan,Other
Whitney,MG,RX5
Whitney,Mazda,6
Johnny,Chery,QQ
Johnny,Volkswagen,Jetta
Elijah,BMW,535
Elijah,Mercedes-Benz,CL-Class
Allison,Fiat,500X
Allison,Hyundai,Sonata
Jacqueline,Other make,Mahindra
Jacqueline,Mercedes-Benz,S400
Alexis,Kia,Picanto
Alexis,Jetour,X95
Ralph,Kia,Carens
Ralph,Mercedes-Benz,GL-Class
Kim,Suzuki,Alto
Kim,BMW,520
Tracie,Jaguar,Other
Tracie,Renault,Sandero Stepway
Paula,Classic,Classic
Paula,Jaguar,XE
Bill,Mercedes-Benz,C250
Bill,Chrysler,Town and Country
Ian,Toyota,Auris
Ian,Isuzu,Other
Alejandro,Chevrolet,N300
Alejandro,Tesla,Model Y
Diane,Proton,Preve
Diane,Peugeot,207
Christy,Ford,Expedition
Christy,Peugeot,406
Tamara,Kia,Cerato
Tamara,Mitsubishi,Atrage
Lucas,Hyundai,Accent
Lucas,Volvo,XC60
Denise,Skoda,Scala
Denise,Skoda,Superb
Wendy,Opel,Crossland
Wendy,Skoda,Rapid
Ernest,Jaguar,F-Pace
Ernest,Changan,Alsvin
Kellie,Opel,Astra
Kellie,Chevrolet,Camaro
Valerie,Infiniti,Other
Valerie,Dodge,Charger
Susan,Seat,Cordoba
Susan,BMW,330
Miguel,Kia,Sportage
Miguel,Honda,Jazz
Cory,Nissan,Other
Cory,Skoda,Karoq
Bailey,Proton,Gen-2
Bailey,Hyundai,Santamo
Madison,Porsche,Cayman
Madison,Peugeot,208
Connor,Brilliance,X30
Connor,GMC,Yukon
Kristina,Nissan,Qashqai
Kristina,Mercedes-Benz,E220
Alvin,Dodge,Dart
Alvin,Other make,Landwind
Mitchell,Other make,Mahindra
Mitchell,Hyundai,H1
Randy,Lada,2106
Randy,Mitsubishi,Atrage
Troy,Hyundai,Elantra
Troy,Saipa,Tiba
Natalie,Brilliance,Jinbei
Natalie,Volkswagen,Golf
Carlos,Mercedes-Benz,A180
Carlos,Kia,Xceed
Charlene,Fiat,Tipo
Charlene,Proton,Saga
Michele,BMW,X7
Michele,Hyundai,Grand I10
Dillon,Porsche,Other
Dillon,Mercedes-Benz,S350
Brad,Skoda,Superb
Brad,Speranza,Envy
Virginia,GMC,Yukon
Virginia,Brilliance,Jinbei
Gabriella,Volkswagen,Passat
Gabriella,MG,ZS
Gary,Peugeot,3008
Gary,Mitsubishi,Other
Misty,Mercedes-Benz,E300
Misty,Hyundai,Avante
Douglas,Hyundai,Verna
Douglas,BMW,525
Phillip,Toyota,Auris
Phillip,Suzuki,S-Presso
Juan,Chery,Tiggo
Juan,King Long,Van
Caitlin,Toyota,Rav 4
Caitlin,Porsche,Carrera
Sergio,Honda,City
Sergio,BMW,X6
Nathaniel,Nissan,Bluebird
Nathaniel,Geely,Emgrand X7
Rhonda,Toyota,Rumion
Rhonda,Porsche,Panamera
Brianna,Lada,2106
Brianna,BMW,X3
Rachael,BMW,218
Rachael,Chevrolet,Cruze
Pedro,Lada,2107
Pedro,Toyota,Rumion
Gail,Lifan,Other
Gail,Toyota,Prado
Veronica,BMW,320
Veronica,Ssang Yong,Tivoli
Isabel,MINI,Clubman
Isabel,MINI,Clubman
Meredith,Bentley,Continental
Meredith,Daihatsu,Grand Terios
Sheryl,Citroen,C3 Picasso
Sheryl,Chery,QQ
Angelica,Mercedes-Benz,S560
Angelica,Mercedes-Benz,CL-Class
Bethany,Fiat,Palio
Bethany,Fiat,Siena
Evan,Brilliance,H530
Evan,Brilliance,Jinbei
Christina,Jeep,Compass
Christina,Audi,A4
Lynn,Mercedes-Benz,C280
Lynn,Mercedes-Benz,C200
Mercedes,Fiat,500
Mercedes,Jaguar,XE
Connie,Lada,2106
Connie,Ford,Fiesta
Hannah,Jeep,Wrangler
Hannah,Renault,Sandero
Suzanne,Peugeot,301
Suzanne,MG,MG 5
Joyce,Chevrolet,Camaro
Joyce,Toyota,Yaris
Dylan,Mercedes-Benz,GLS
Dylan,Audi,Q5
Micheal,MINI,John Cooper Works
Micheal,Mercedes-Benz,E220
Charlotte,Lada,Other
Charlotte,Citroen,C4 Grand Picasso
Brendan,MINI,Clubman
Brendan,Skoda,Superb
Hunter,Senova,X35
Hunter,Brilliance,Galena
Ariana,Chevrolet,Pickup/Dababa
Ariana,Other make,Karry
Jerry,Suzuki,Pick up
Jerry,Renault,Logan
Ebony,Toyota,Auris
Ebony,Mercedes-Benz,CLA 180
Tonya,Renault,Captur
Tonya,Suzuki,Vitara
Nina,Daihatsu,Gran Max
Nina,Mercedes-Benz,GLK 250
Katelyn,Jaguar,F-type
Katelyn,Jeep,Renegade
Jim,Kia,Soul
Jim,Fiat,Tipo
Chloe,Ford,Explorer
Chloe,Brilliance,H530
Dalton,Toyota,C-HR
Dalton,Renault,Sandero Stepway
Austin,Land Rover,Evoque
Austin,MINI,Clubman
Dale,Skoda,Kodiaq
Dale,Mercedes-Benz,E240
Haley,Mercedes-Benz,E250
Haley,Brilliance,V5
Kathy,Alfa Romeo,Giulietta
Kathy,Renault,Sandero Stepway
Olivia,MG,RX5
Olivia,GMC,Sierra
Sharon,Infiniti,Q
Sharon,Mitsubishi,Lancer
Betty,Chevrolet,Trailblazer
Betty,Daewoo,Lacetti
Martha,Chevrolet,N300
Martha,Alfa Romeo,Giulia
Beverly,Haval,Jolion
Beverly,Daewoo,Zaz
Alice,Hyundai,Verna
Alice,Chevrolet,Aveo
Darlene,Bentley,Flying Spur
Darlene,Jac,J7
Parker,MINI,Cooper Roadster
Parker,Chevrolet,Pickup/Dababa
Julia,MG,ZS
Julia,Hyundai,IX35
Ellen,Chevrolet,N200
Ellen,Bentley,Flying Spur
Gina,Toyota,Corolla
Gina,Brilliance,H530
Roy,Daihatsu,Grand Terios
Roy,Toyota,Rush
Pam,Land Rover,Discovery
Pam,Mercedes-Benz,B200
Courtney,Seat,Arona
Courtney,BMW,328
Garrett,King Long,Van
Garrett,Chrysler,Sebring
Colin,Fiat,Petra
Colin,Opel,Vectra
Shelby,Lamborghini,Other
Shelby,Skoda,Kamiq
Renee,Fiat,Linea
Renee,Cadillac,Escalade
Wanda,Hyundai,IX35
Wanda,Audi,Q7
